row_type,event,detail,run_id,wall_time,elapsed_s,telemetry_sequence,esp_millis,protocol,valid_mask,lap,corner_counter,segment,pillars_this_straight,corner_next,state,direction,target_heading,heading,heading_error,left_cm,center_cm,right_cm,ir,hard_stop,requested_speed,requested_direction,requested_steering,applied_speed,camera_fresh,track_id,pillar_color,pillar_confirmed,pillar_seen,pillar_bbox,pillar_area,pillar_bottom,pillar_x,pillar_band,background_candidate,foreground_priority,deferred_track_id,all_candidates,blue_tape_depth,orange_tape_depth,parking_block,corner_zone_locked,corner_zone_count,corner_close_count,recovery_attempt,pass_committed,committed_track,committed_color,committed_side,committed_state,committed_steering,committed_speed
sample,,,20260919_192712_727123,2026-09-19T19:27:12,0.000,1,27794,v2,0x0F,1,0,1,0,0,PARKING_EXIT_DIRECTION,,0,3.0,-3.00,11,10,79,0,0,0,0,0,0,1,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
sample,,,20260919_192712_727123,2026-09-19T19:27:12,0.047,2,27818,v2,0x0F,1,0,1,0,0,PARKING_EXIT_DIRECTION,,0,3.0,-3.00,11,10,79,0,0,0,0,0,0,1,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
sample,,,20260919_192712_727123,2026-09-19T19:27:12,0.063,3,27842,v2,0x0F,1,0,1,0,0,PARKING_EXIT_DIRECTION,,0,3.0,-3.00,11,10,79,0,0,0,0,0,0,1,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
sample,,,20260919_192712_727123,2026-09-19T19:27:12,0.078,4,27868,v2,0x0F,1,0,1,0,0,PARKING_EXIT_DIRECTION,,0,3.0,-3.00,11,10,79,0,0,0,0,0,0,1,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
sample,,,20260919_192712_727123,2026-09-19T19:27:12,0.094,5,27892,v2,0x0F,1,0,1,0,0,PARKING_EXIT_DIRECTION,,0,3.0,-3.00,11,10,79,0,0,0,0,0,0,1,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
sample,,,20260919_192712_727123,2026-09-19T19:27:12,0.125,6,27918,v2,0x0F,1,0,1,0,0,PARKING_EXIT_DIRECTION,,0,3.0,-3.00,11,9,79,0,0,0,0,0,0,1,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
sample,,,20260919_192712_727123,2026-09-19T19:27:12,0.156,7,27942,v2,0x0F,1,0,1,0,0,PARKING_EXIT_DIRECTION,,0,3.0,-3.00,11,10,79,0,0,0,0,0,0,1,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
sample,,,20260919_192712_727123,2026-09-19T19:27:12,0.188,8,27968,v2,0x0F,1,0,1,0,0,PARKING_EXIT_DIRECTION,,0,3.0,-3.00,11,10,79,0,0,0,0,0,0,1,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
event,state_transition,PARKING_EXIT_DIRECTION->PARKING_EXIT_ARC_1: starting historical S-curve,20260919_192712_727123,2026-09-19T19:27:12,0.203,9,27992,v2,0x0F,1,0,1,0,0,PARKING_EXIT_ARC_1,clockwise,3.0000000000000004,3.0,0.00,11,10,79,0,0,0,0,0,0,0,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
sample,,,20260919_192712_727123,2026-09-19T19:27:12,0.203,9,27992,v2,0x0F,1,0,1,0,0,PARKING_EXIT_ARC_1,clockwise,3.0000000000000004,3.0,0.00,11,10,79,0,0,0,0,0,0,1,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
sample,,,20260919_192712_727123,2026-09-19T19:27:12,0.235,10,28018,v2,0x0F,1,0,1,0,0,PARKING_EXIT_ARC_1,clockwise,3.0000000000000004,3.0,0.00,11,10,79,0,0,70,0,50,0,1,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
sample,,,20260919_192712_727123,2026-09-19T19:27:12,0.250,11,28043,v2,0x0F,1,0,1,0,0,PARKING_EXIT_ARC_1,clockwise,3.0000000000000004,3.0,0.00,11,9,79,0,0,70,0,50,70,1,,,,,,,,,,,,,[],,,,0,0,0,0,0,,,,,,
