elapsed_s,state,heading,left_cm,front_cm,right_cm,speed,drive_direction,steering,block1_x_cm,block1_z_cm,block1_confidence,block2_x_cm,block2_z_cm,block2_confidence,slot_x_cm,slot_z_cm,slot_heading_deg,slot_bearing_deg,slot_confident
0.312,SEARCH_LAST_PILLAR,,,,,80,0,38.0,-36.04,-12.51,0.648,,,,,,,,False
0.422,SEARCH_LAST_PILLAR,1.0,55,238,241,80,0,38.0,-36.08,-12.54,0.650,,,,,,,,False
0.516,PASS_LAST_PILLAR,-2.0,56,215,245,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
0.594,PASS_LAST_PILLAR,1.0,55,235,238,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
0.672,PASS_LAST_PILLAR,3.0,57,235,242,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
0.766,PASS_LAST_PILLAR,5.0,56,234,236,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
0.844,PASS_LAST_PILLAR,8.0,56,234,216,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
0.859,PASS_LAST_PILLAR,10.0,57,209,131,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
0.922,PASS_LAST_PILLAR,11.0,57,197,131,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
0.953,PASS_LAST_PILLAR,13.0,58,234,213,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
1.016,PASS_LAST_PILLAR,14.0,56,232,234,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
1.109,PASS_LAST_PILLAR,16.0,62,112,219,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
1.141,PASS_LAST_PILLAR,18.0,63,100,55,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
1.156,PASS_LAST_PILLAR,18.0,64,94,31,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
1.219,PASS_LAST_PILLAR,19.0,65,91,28,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
1.250,PASS_LAST_PILLAR,21.0,66,78,46,80,0,38.0,-35.94,-12.65,0.733,,,,,,,,False
1.312,SEARCH_FIRST_BOUNDARY,22.0,66,75,52,40,0,-21.0,,,,,,,,,,,False
1.328,SEARCH_FIRST_BOUNDARY,23.0,68,69,130,40,0,-22.0,,,,,,,,,,,False
1.359,SEARCH_FIRST_BOUNDARY,24.0,68,66,149,40,0,-23.0,,,,,,,,,,,False
1.437,SEARCH_FIRST_BOUNDARY,24.0,69,64,158,40,0,-23.0,,,,,,,,,,,False
1.453,SEARCH_FIRST_BOUNDARY,27.0,72,53,128,40,0,-25.0,,,,,,,,,,,False
1.531,SEARCH_FIRST_BOUNDARY,30.0,74,50,114,40,0,-25.0,,,,,,,,,,,False
1.562,SEARCH_FIRST_BOUNDARY,30.0,75,50,129,40,0,-25.0,,,,,,,,,,,False
1.625,SEARCH_FIRST_BOUNDARY,30.0,74,50,127,40,0,-25.0,,,,,,,,,,,False
1.656,SEARCH_FIRST_BOUNDARY,30.0,75,50,136,40,0,-25.0,,,,,,,,,,,False
1.734,SEARCH_FIRST_BOUNDARY,30.0,74,50,138,40,0,-25.0,,,,,,,,,,,False
1.750,SEARCH_FIRST_BOUNDARY,29.0,75,51,143,40,0,-25.0,,,,,,,,,,,False
1.828,SEARCH_FIRST_BOUNDARY,29.0,74,51,144,40,0,-25.0,,,,,,,,,,,False
1.844,SEARCH_FIRST_BOUNDARY,29.0,75,51,147,40,0,-25.0,,,,,,,,,,,False
1.922,SEARCH_FIRST_BOUNDARY,29.0,74,51,148,40,0,-25.0,,,,,,,,,,,False
1.937,SEARCH_FIRST_BOUNDARY,28.0,74,52,154,40,0,-25.0,,,,,,,,,,,False
1.969,SEARCH_FIRST_BOUNDARY,28.0,74,52,155,40,0,-25.0,,,,,,,,,,,False
2.047,SEARCH_FIRST_BOUNDARY,28.0,73,52,156,40,0,-25.0,,,,,,,,,,,False
2.062,SEARCH_FIRST_BOUNDARY,28.0,74,52,158,40,0,-25.0,,,,,,,,,,,False
2.141,SEARCH_FIRST_BOUNDARY,28.0,74,52,158,40,0,-25.0,,,,,,,,,,,False
2.203,SEARCH_FIRST_BOUNDARY,27.0,74,53,34,40,0,-25.0,,,,,,,,,,,False
2.234,SEARCH_FIRST_BOUNDARY,27.0,74,53,152,40,0,-25.0,,,,,,,,,,,False
2.250,SEARCH_FIRST_BOUNDARY,27.0,74,53,165,40,0,-25.0,,,,,,,,,,,False
2.328,SEARCH_FIRST_BOUNDARY,27.0,74,53,168,40,0,-25.0,,,,,,,,,,,False
2.344,SEARCH_FIRST_BOUNDARY,26.0,74,54,175,40,0,-25.0,,,,,,,,,,,False
2.422,SEARCH_FIRST_BOUNDARY,26.0,74,54,177,40,0,-25.0,,,,,,,,,,,False
2.453,SEARCH_FIRST_BOUNDARY,26.0,74,55,182,40,0,-25.0,,,,,,,,,,,False
2.531,SEARCH_FIRST_BOUNDARY,25.0,73,55,183,40,0,-24.0,,,,,,,,,,,False
